,,,All production,,,,,,Stripping,,,,,,Auger,,,,,
County,State,Year,Total Production,Average Value per Ton,Average Number of Persons Working Daily,Average Number of Days Worked,Number of Person-Days Worked,Average Tons per Person per Day,Number of Strip Pits,Total Production (Stripping),Average Number of Persons Working Daily (Stripping),Average Number of Days Worked (Stripping),Number of Person-Days Worked (Stripping),Average Tons per Person per Day (Stripping),Number of Auger Mines,Total Production (Auger),Average Number of Persons Working Daily (Auger),Average Number of Days Worked (Auger),Number of Person-Days Worked (Auger),Average Tons per Person per Day (Auger)
Bell,Kentucky,1946,2426553,3.96,2835,191,540670,4.49,,,,,,,,,,,,
Boyd,Kentucky,1946,596606,3.45,373,270,100740,5.92,5,404306,101,259,29198,15.43,,,,,,
Breathitt,Kentucky,1946,75808,3.83,92,205,18881,4.02,,,,,,,,,,,,
Carter,Kentucky,1946,187005,3.51,246,196,48323,3.87,,,,,,,,,,,,
Clay,Kentucky,1946,382193,3.51,593,199,118120,3.24,2,51750,64,163,10445,4.95,,,,,,
Clinton,Kentucky,1946,42300,3.32,47,178,8370,5.05,,,,,,,,,,,,
Elliott,Kentucky,1946,31734,2.77,34,274,9300,3.41,,,,,,,,,,,,
Floyd,Kentucky,1946,6208251,3.82,5524,204,1126069,5.51,,,,,,,,,,,,
Greenup,Kentucky,1946,58424,3.08,102,218,22212,2.63,,,,,,,,,,,,
Harlan,Kentucky,1946,11312171,4.00,11225,234,2621768,4.31,,,,,,,,,,,,
Jackson,Kentucky,1946,117766,3.45,155,247,38339,3.07,,,,,,,,,,,,
Johnson,Kentucky,1946,826505,4.27,1074,205,219910,3.76,,,,,,,,,,,,
Knott,Kentucky,1946,993131,3.64,744,208,154844,6.41,,,,,,,,,,,,
Knox,Kentucky,1946,520720,3.93,563,207,116681,4.46,,,,,,,,,,,,
Laurel,Kentucky,1946,418227,3.50,350,194,67913,6.16,4,159128,66,280,18228,12.03,,,,,,
Lawrence,Kentucky,1946,13854,3.01,32,185,5921,2.34,,,,,,,,,,,,
Lee,Kentucky,1946,63121,3.41,69,239,16460,3.83,,,,,,,,,,,,
Leslie,Kentucky,1946,357823,3.99,285,213,60727,5.89,,,,,,,,,,,,
Letcher,Kentucky,1946,7547743,3.89,7558,213,1610721,4.69,3,37967,39,80,3129,12.14,,,,,,
Magoffin,Kentucky,1946,80398,3.42,135,145,19549,4.11,,,,,,,,,,,,
Martin,Kentucky,1946,396326,3.21,256,213,54432,7.28,,,,,,,,,,,,
McCreary,Kentucky,1946,765626,2.39,813,209,170209,4.50,,,,,,,,,,,,
Menifee,Kentucky,1946,25725,3.29,29,238,6889,3.73,,,,,,,,,,,,
Morgan,Kentucky,1946,31649,3.76,65,225,14651,2.16,,,,,,,,,,,,
Perry,Kentucky,1946,6243877,3.65,5598,213,1195041,5.22,,,,,,,,,,,,
Pike,Kentucky,1946,9100840,3.51,7695,214,1643844,5.54,,,,,,,,,,,,
Pulaski,Kentucky,1946,117000,3.27,124,213,26390,4.43,,,,,,,,,,,,
Rockcastle,Kentucky,1946,67431,2.95,105,180,18850,3.58,,,,,,,,,,,,
Wayne,Kentucky,1946,24790,3.45,45,206,9248,2.68,,,,,,,,,,,,
Whitley,Kentucky,1946,308257,3.75,544,147,79851,3.86,,,,,,,,,,,,
Butler,Kentucky,1946,52908,2.47,58,212,12285,4.31,,,,,,,,,,,,
Christian,Kentucky,1946,5980,2.78,8,190,1520,3.93,,,,,,,,,,,,
Daviess,Kentucky,1946,274866,2.61,260,181,47013,5.85,,,,,,,,,,,,
Edmonson,Kentucky,1946,16770,2.50,19,238,4520,3.71,,,,,,,,,,,,
Hancock,Kentucky,1946,68186,2.61,78,140,10945,6.23,2,38246,35,98,3240,11.19,,,,,,
Henderson,Kentucky,1946,299027,2.14,260,237,61720,4.84,,,,,,,,,,,,
Hopkins,Kentucky,1946,9893466,2.35,4431,213,945685,10.46,17,4588543,961,296,226633,20.25,,,,,,
McLean,Kentucky,1946,45850,2.73,52,202,10516,4.36,,,,,,,,,,,,
Muhlenberg,Kentucky,1946,4706951,2.33,3111,186,577886,8.15,5,816350,239,197,47105,17.33,,,,,,
Ohio,Kentucky,1946,737530,2.51,491,192,94465,7.81,3,346093,121,161,18458,17.79,,,,,,
Union,Kentucky,1946,624830,2.16,449,175,78757,7.93,,,,,,,,,,,,
Webster,Kentucky,1946,480859,2.46,367,159,58432,8.30,2,104921,58,181,5836,17.98,,,,,,
"Butler, Daviess",Kentucky,1946,,,,,,,3,19620,17,134,2280,7.90,,,,,,
"Elliott, Pulaski, Rockcastle, Whitley",Kentucky,1946,,,,,,,6,29928,47,108,1094,5.38,,,,,,
"Perry, Pike",Kentucky,1946,,,,,,,4,761114,155,231,35851,21.23,,,,,,
Anderson,Tennessee,1946,1200517,3.75,1091,208,227259,5.28,,,,,,,,,,,,
Bledsoe,Tennessee,1946,53342,3.93,37,207,7670,6.95,,,,,,,,,,,,
Campbell,Tennessee,1946,1399669,4.07,1680,207,347135,4.03,,,,,,,,,,,,
Claiborne,Tennessee,1946,1256369,3.76,1419,192,273115,4.50,,,,,,,,,,,,
Cumberland,Tennessee,1946,367,4.00,12,248,2980,1.23,,,,,,,,,,,,
Fentress,Tennessee,1946,233057,3.56,193,226,43705,5.33,,,,,,,,,,,,
Grundy,Tennessee,1946,367703,4.19,502,185,92982,3.95,,,,,,,,,,,,
Hamilton,Tennessee,1946,34576,3.47,63,208,13105,2.64,,,,,,,,,,,,
Marion,Tennessee,1946,338848,4.00,767,135,103216,3.28,,,,,,,,,,,,
Morgan,Tennessee,1946,128512,1.95,312,243,75777,1.70,,,,,,,,,,,,
Overton,Tennessee,1946,61321,3.58,72,212,15228,4.03,,,,,,,,,,,,
Putnam,Tennessee,1946,133000,3.90,120,240,28800,4.62,,,,,,,,,,,,
Rhea,Tennessee,1946,13439,3.85,27,200,5409,2.48,,,,,,,,,,,,
Scott,Tennessee,1946,311441,3.89,296,199,58906,5.29,,,,,,,,,,,,
Sequatchie,Tennessee,1946,80304,3.82,132,200,26403,3.04,,,,,,,,,,,,
Van Buren,Tennessee,1946,3575,3.61,11,205,2260,1.14,,,,,,,,,,,,
"Anderson, Campbell, Morgan",Tennessee,1946,,,,,,,5,121681,65,166,10814,11.25,,,,,,
"Bledsoe, Grundy",Tennessee,1946,,,,,,,2,74526,40,219,8740,8.53,,,,,,
Buchanan,Virginia,1946,4472647,3.71,3485,236,823483,5.43,2,248391,80,171,13651,18.20,,,,,,
Dickenson,Virginia,1946,1333648,3.83,1167,233,271492,4.91,,,,,,,,,,,,
Lee,Virginia,1946,599001,4.01,733,197,144740,4.14,,,,,,,,,,,,
Montgomery,Virginia,1946,180366,3.99,209,217,45438,3.97,,,,,,,,,,,,
Russell,Virginia,1946,1186603,3.66,942,222,308993,5.68,2,92578,43,163,7020,13.19,,,,,,
Scott,Virginia,1946,44446,3.47,55,240,13201,3.37,,,,,,,,,,,,
Tazewell,Virginia,1946,3884197,4.24,4035,247,994972,3.90,,,,,,,,,,,,
Wise,Virginia,1946,3825987,3.61,3580,207,741389,5.16,11,314847,172,141,24236,12.99,,,,,,
Barbour,West Virginia,1946,2849527,3.05,1864,180,335000,8.51,18,912614,365,160,58420,15.61,,,,,,
Boone,West Virginia,1946,5139342,3.54,3768,233,879308,5.84,,,,,,,,,,,,
Braxton,West Virginia,1946,73996,3.03,71,125,8868,8.34,,,,,,,,,,,,
Brooke,West Virginia,1946,1965352,3.15,1027,244,230174,8.54,9,868597,242,209,50553,17.18,,,,,,
Clay,West Virginia,1946,1142672,4.24,853,253,216148,5.29,,,,,,,,,,,,
Fayette,West Virginia,1946,12444766,4.08,10565,237,2503713,4.97,16,1208366,484,176,85066,14.21,,,,,,
Gilmer,West Virginia,1946,69935,2.19,60,149,8931,7.83,2,50877,34,165,5606,9.08,,,,,,
Grant,West Virginia,1946,137367,3.91,103,199,20515,6.70,1,103874,40,269,10750,9.66,,,,,,
Greenbrier,West Virginia,1946,2421268,4.21,2019,217,438156,5.53,6,347385,174,256,27123,12.81,,,,,,
Hancock,West Virginia,1946,82549,2.74,33,247,8144,10.14,,,,,,,,,,,,
Harrison,West Virginia,1946,11019788,3.05,5536,155,919899,11.98,61,6445411,1875,173,323934,19.90,,,,,,
Kanawha,West Virginia,1946,8167437,3.65,6508,232,1512548,5.40,,,,,,,,,,,,
Lewis,West Virginia,1946,23051,3.17,38,62,2350,9.81,,,,,,,,,,,,
Logan,West Virginia,1946,20027295,3.47,12145,238,2894846,6.92,,,,,,,,,,,,
Marion,West Virginia,1946,7909521,3.21,5504,200,1098819,7.20,3,131724,63,117,7372,17.87,,,,,,
Marshall,West Virginia,1946,854062,3.44,690,221,152694,5.59,,,,,,,,,,,,
Mason,West Virginia,1946,199831,3.37,213,186,39694,5.03,,,,,,,,,,,,
McDowell,West Virginia,1946,21709020,4.08,16910,242,4097740,5.30,2,48157,30,105,3164,15.22,,,,,,
Mercer,West Virginia,1946,2551760,4.15,2611,246,642912,3.97,,,,,,,,,,,,
Mineral,West Virginia,1946,467988,4.14,252,201,50542,9.26,5,342196,111,190,21139,16.19,,,,,,
Mingo,West Virginia,1946,4765926,3.62,3918,220,861063,5.53,3,272985,100,218,21790,12.53,,,,,,
Monongalia,West Virginia,1946,9084781,3.09,5249,200,1049084,8.66,11,662213,250,154,38600,17.16,,,,,,
Nicholas,West Virginia,1946,1753627,3.81,1294,203,263317,6.66,4,314158,100,243,24264,12.95,,,,,,
Ohio,West Virginia,1946,1458417,3.43,1357,216,293687,4.97,,,,,,,,,,,,
Preston,West Virginia,1946,2706125,3.61,2170,225,487297,5.55,4,637847,205,257,52660,12.11,,,,,,
Putnam,West Virginia,1946,12300,2.93,21,186,3910,3.15,,,,,,,,,,,,
Raleigh,West Virginia,1946,12945654,4.02,10796,239,2576076,5.03,6,145107,92,115,10547,13.76,,,,,,
Randolph,West Virginia,1946,1913914,3.51,1601,183,292855,6.54,9,669948,271,152,41087,16.31,,,,,,
Taylor,West Virginia,1946,1098288,3.17,677,179,120965,9.08,9,601066,193,135,26053,23.07,,,,,,
Tucker,West Virginia,1946,1114693,3.96,646,219,141570,7.87,5,740671,230,239,57040,12.99,,,,,,
Upshur,West Virginia,1946,444954,2.92,418,150,62816,7.08,3,37928,31,96,2987,12.70,,,,,,
Wayne,West Virginia,1946,405624,3.41,456,190,86555,4.69,,,,,,,,,,,,
Webster,West Virginia,1946,1805026,3.23,1532,210,322444,5.60,,,,,,,,,,,,
Wyoming,West Virginia,1946,5253296,4.02,3846,234,901608,5.83,,,,,,,,,,,,
"Boone, Kanawha",West Virginia,1946,,,,,,,3,175526,57,175,9963,17.62,,,,,,
"Braxton, Lewis, Webster",West Virginia,1946,,,,,,,3,83246,71,90,6402,13.00,,,,,,
"Hancock, Marshall",West Virginia,1946,,,,,,,3,137871,51,193,9832,14.02,,,,,,
Bell,Kentucky,1947,3376041,5.22,3734,206,770016,4.38,,,,,,,,,,,,
Boyd,Kentucky,1947,782417,4.17,498,237,118251,6.62,5,450804,124,217,26919,16.75,,,,,,
Breathitt,Kentucky,1947,251391,4.66,277,104,45545,5.52,,,,,,,,,,,,
Carter,Kentucky,1947,582628,4.50,547,233,127405,4.57,1,111295,62,179,11114,10.01,,,,,,
Clay,Kentucky,1947,484845,4.94,796,221,175760,2.76,1,7775,14,85,1190,6.53,,,,,,
Clinton,Kentucky,1947,2300,4.23,8,90,720,3.19,,,,,,,,,,,,
Elliott,Kentucky,1947,47804,3.72,58,233,13492,3.54,1,2100,4,200,1000,2.10,,,,,,
Floyd,Kentucky,1947,7886625,5.10,6678,226,1507810,5.23,,,,,,,,,,,,
Greenup,Kentucky,1947,110192,3.98,134,220,29433,3.74,,,,,,,,,,,,
Harlan,Kentucky,1947,12054128,5.08,12312,205,2525580,4.77,,,,,,,,,,,,
Jackson,Kentucky,1947,129089,4.49,176,233,40996,3.15,,,,,,,,,,,,
Johnson,Kentucky,1947,1527744,5.28,1443,211,304002,5.03,,,,,,,,,,,,
Knott,Kentucky,1947,1340871,4.70,1021,205,208897,6.42,1,3200,10,34,340,9.41,,,,,,
Knox,Kentucky,1947,890355,4.95,845,203,171706,5.19,2,43360,34,256,8720,4.97,,,,,,
Laurel,Kentucky,1947,821187,4.45,516,257,132559,6.19,4,259460,104,245,25478,10.18,,,,,,
Lawrence,Kentucky,1947,90819,3.90,116,232,26944,3.37,,,,,,,,,,,,
Lee,Kentucky,1947,68849,3.87,95,227,21588,3.19,,,,,,,,,,,,
Leslie,Kentucky,1947,762416,5.04,595,201,119749,6.37,1,6235,25,25,625,9.98,,,,,,
Letcher,Kentucky,1947,8109742,5.00,6472,208,1344354,6.03,9,679114,231,220,50910,13.34,,,,,,
Lewis,Kentucky,1947,6452,4.69,12,100,1200,5.38,,,,,,,,,,,,
Magoffin,Kentucky,1947,690987,4.33,616,192,118332,5.84,1,1115,6,20,120,9.29,,,,,,
Martin,Kentucky,1947,450888,4.34,307,225,69193,6.52,,,,,,,,,,,,
McCreary,Kentucky,1947,1149742,4.95,1017,234,237664,4.84,1,1080,6,223,1338,7.53,,,,,,
Menifee,Kentucky,1947,30753,4.20,41,259,10639,2.89,,,,,,,,,,,,
Montgomery,Kentucky,1947,7667,4.69,7,269,1883,4.07,,,,,,,,,,,,
Morgan,Kentucky,1947,123367,4.67,137,234,32110,3.84,,,,,,,,,,,,
Perry,Kentucky,1947,6624873,4.80,5799,201,1163730,5.69,1,206705,45,258,11630,17.77,,,,,,
Pike,Kentucky,1947,12439969,4.56,9610,237,2273045,5.47,3,66518,34,123,4167,15.96,,,,,,
Pulaski,Kentucky,1947,307905,4.18,198,272,53860,5.72,2,7400,10,122,1220,6.07,,,,,,
Rockcastle,Kentucky,1947,204902,3.87,130,274,35560,5.76,1,7000,6,140,840,8.33,,,,,,
Wayne,Kentucky,1947,2200,3.62,10,161,1608,1.37,,,,,,,,,,,,
Whitley,Kentucky,1947,663262,4.81,593,234,138689,4.78,4,48250,42,158,6635,7.27,,,,,,
Wolfe,Kentucky,1947,35810,4.69,38,188,7148,5.01,,,,,,,,,,,,
Butler,Kentucky,1947,264304,3.35,145,228,32995,8.01,3,88500,34,240,8155,10.85,,,,,,
Christian,Kentucky,1947,13900,3.69,11,220,2420,5.74,,,,,,,,,,,,
Daviess,Kentucky,1947,458780,3.49,304,211,64135,7.15,1,50000,45,104,4700,10.64,,,,,,
Edmonson,Kentucky,1947,15800,3.41,15,164,2460,6.42,,,,,,,,,,,,
Hancock,Kentucky,1947,210683,3.20,69,236,16198,13.01,1,171443,37,265,9788,17.52,,,,,,
Henderson,Kentucky,1947,253450,2.88,198,207,41002,6.18,,,,,,,,,,,,
Hopkins,Kentucky,1947,11698330,3.20,4259,214,910465,12.85,26,6055577,1250,206,257587,23.51,,,,,,
McLean,Kentucky,1947,152093,3.63,165,210,34602,4.40,,,,,,,,,,,,
Muhlenberg,Kentucky,1947,6735652,2.95,3409,210,716346,9.40,8,1481381,386,189,73075,20.27,,,,,,
Ohio,Kentucky,1947,1163867,3.30,726,156,113462,10.26,11,664181,321,125,40049,16.58,,,,,,
Union,Kentucky,1947,657026,3.07,272,258,70243,9.35,,,,,,,,,,,,
Webster,Kentucky,1947,558497,3.24,342,192,65693,8.50,1,150190,28,213,5964,25.18,,,,,,
Anderson,Tennessee,1947,1460011,4.51,1162,217,251745,5.80,1,3650,3,170,510,7.16,,,,,,
Bledsoe,Tennessee,1947,39211,4.43,35,122,4286,9.15,1,35991,20,175,3500,10.28,,,,,,
Campbell,Tennessee,1947,1518994,5.40,1791,199,356070,4.27,1,162336,55,231,12683,12.80,,,,,,
Claiborne,Tennessee,1947,1027232,4.77,1076,211,226991,4.53,,,,,,,,,,,,
Fentress,Tennessee,1947,277177,4.37,243,236,57255,4.84,,,,,,,,,,,,
Grundy,Tennessee,1947,461777,4.93,505,203,102292,4.51,1,80838,33,232,7656,10.56,,,,,,
Hamilton,Tennessee,1947,195197,4.69,116,238,27596,7.07,1,153709,55,279,15362,10.01,,,,,,
Marion,Tennessee,1947,379710,4.05,458,193,88544,4.29,,,,,,,,,,,,
Morgan,Tennessee,1947,226065,5.16,396,237,93956,2.41,,,,,,,,,,,,
Overton,Tennessee,1947,30098,4.10,45,183,8248,3.65,,,,,,,,,,,,
Rhea,Tennessee,1947,10000,4.00,16,228,3640,2.75,,,,,,,,,,,,
Scott,Tennessee,1947,338436,4.14,230,218,50198,6.74,,,,,,,,,,,,
Sequatchie,Tennessee,1947,36748,4.23,69,165,11404,3.22,,,,,,,,,,,,
Van Buren,Tennessee,1947,1000,4.11,3,100,300,3.33,,,,,,,,,,,,
White,Tennessee,1947,9565,3.23,15,191,2859,3.35,,,,,,,,,,,,
"Cumberland, Putnam ",Tennessee,1947,247262,4.56,225,215,48426,5.11,,,,,,,,,,,,
"Morgan, Scott",Tennessee,1947,,,,,,,3,79997,38,168,6388,12.52,,,,,,
Buchanan,Virginia,1947,5397676,4.85,3632,250,907036,5.95,,,,,,,,,,,,
Dickenson,Virginia,1947,2578082,5.11,1861,256,475782,5.42,,,,,,,,,,,,
Lee,Virginia,1947,770204,4.89,860,227,195061,3.95,,,,,,,,,,,,
Montgomery,Virginia,1947,159304,4.61,218,211,46072,3.46,,,,,,,,,,,,
Russell,Virginia,1947,2001906,5.01,1172,265,310471,6.45,,,,,,,,,,,,
Scott,Virginia,1947,86050,4.14,99,260,25720,3.35,,,,,,,,,,,,
Tazewell,Virginia,1947,4380720,4.94,4137,273,1129835,3.88,,,,,,,,,,,,
Wise,Virginia,1947,4796857,4.49,4153,232,964908,4.97,7,279329,94,191,17931,15.58,,,,,,
"Buchanan, Tazewell",Virginia,1947,,,,,,,5,437391,175,156,27233,16.06,,,,,,
"Dickenson, Russell",Virginia,1947,,,,,,,3,422021,141,176,24814,17.01,,,,,,
Barbour,West Virginia,1947,4238851,3.85,3659,166,440708,9.62,21,1736346,808,141,114172,15.21,,,,,,
Boone,West Virginia,1947,6393631,4.64,4270,258,1102626,5.80,3,54739,45,117,5253,10.42,,,,,,
Braxton,West Virginia,1947,58992,3.90,44,97,4282,13.78,2,53977,35,90,3152,17.12,,,,,,
Brooke,West Virginia,1947,2319973,3.45,1153,238,274469,8.45,13,1033933,357,174,62144,16.64,,,,,,
Clay,West Virginia,1947,947827,4.50,870,186,161827,5.86,,,,,,,,,,,,
Fayette,West Virginia,1947,15404026,4.96,11586,265,3068543,5.02,22,3368569,723,204,147150,15.42,,,,,,
Gilmer,West Virginia,1947,72069,3.05,69,109,7510,9.60,2,50007,49,86,4190,11.93,,,,,,
Grant,West Virginia,1947,69868,3.82,113,97,10931,6.39,2,46575,76,55,4201,11.09,,,,,,
Greenbrier,West Virginia,1947,3288261,5.43,2251,255,572929,5.74,11,788140,282,192,54084,14.57,,,,,,
Hancock,West Virginia,1947,118417,3.55,52,182,9483,12.49,3,116164,49,182,8898,13.06,,,,,,
Harrison,West Virginia,1947,15098593,3.50,6514,180,1174796,12.85,88,8520920,2403,173,415261,20.52,,,,,,
Kanawha,West Virginia,1947,10303818,4.51,7377,258,1906233,5.41,9,93525,88,81,7104,13.17,,,,,,
Lewis,West Virginia,1947,248371,3.71,76,270,20520,12.10,2,217644,51,280,14280,15.24,,,,,,
Lincoln,West Virginia,1947,21168,4.60,31,152,4702,4.50,,,,,,,,,,,,
Logan,West Virginia,1947,24028299,4.54,13000,271,3520116,6.83,3,145904,70,143,9999,14.59,,,,,,
Marion,West Virginia,1947,9206119,3.71,5422,219,1185578,7.77,15,301035,194,100,19321,15.58,,,,,,
Marshall,West Virginia,1947,872859,3.97,738,247,182014,4.80,1,32607,21,65,1365,23.89,,,,,,
Mason,West Virginia,1947,203037,4.23,251,166,41589,4.88,,,,,,,,,,,,
McDowell,West Virginia,1947,24457606,4.85,17579,265,4657551,5.25,4,62987,54,85,4578,13.76,,,,,,
Mercer,West Virginia,1947,3046619,5.26,2558,277,709190,4.30,,,,,,,,,,,,
Mineral,West Virginia,1947,176004,4.92,176,148,26111,6.74,6,81831,65,82,5342,15.32,,,,,,
Mingo,West Virginia,1947,6845659,4.82,4754,242,1151475,5.95,8,935488,318,207,65785,14.44,,,,,,
Monongalia,West Virginia,1947,12395810,3.71,6145,222,1365264,9.08,13,1096731,324,211,58356,16.04,,,,,,
Nicholas,West Virginia,1947,2536987,5.33,1813,218,394789,6.43,15,454716,223,162,36171,12.57,,,,,,
Ohio,West Virginia,1947,1683769,3.94,1410,246,346189,4.86,,,,,,,,,,,,
Pocahontas,West Virginia,1947,13953,5.55,9,120,1080,12.92,1,13953,9,120,1080,12.92,,,,,,
Preston,West Virginia,1947,3190410,4.35,2536,258,655369,4.87,13,611907,308,188,57815,10.58,,,,,,
Putnam,West Virginia,1947,38372,4.46,20,109,2180,17.60,1,38372,20,109,2180,17.60,,,,,,
Raleigh,West Virginia,1947,15184656,5.01,11745,263,3089187,4.92,14,530664,305,126,38327,13.85,,,,,,
Randolph,West Virginia,1947,1994448,4.26,1572,192,301676,6.61,14,651614,314,135,42513,15.33,,,,,,
Taylor,West Virginia,1947,1279642,3.69,647,164,105919,12.08,19,979256,319,155,49425,19.81,,,,,,
Tucker,West Virginia,1947,1066112,4.76,597,209,124544,8.56,5,686276,239,180,43051,15.94,,,,,,
Upshur,West Virginia,1947,762236,3.54,625,156,97263,7.84,5,300471,141,135,17656,17.02,,,,,,
Wayne,West Virginia,1947,388123,4.06,356,200,71246,5.45,,,,,,,,,,,,
Webster,West Virginia,1947,1818003,4.79,1551,205,318272,5.71,3,64513,55,73,4035,15.99,,,,,,
Wyoming,West Virginia,1947,6383991,4.89,4365,263,1149354,5.55,2,24678,35,55,1940,12.72,,,,,,
Bell,Kentucky,1948,3005573,6.18,3588,191,686544,4.38,3,84102,64,158,10140,8.29,,,,,,
Boyd,Kentucky,1948,430673,4.68,296,218,64493,6.68,3,254999,101,216,21845,11.67,,,,,,
Breathitt,Kentucky,1948,158946,5.47,260,132,34251,4.64,,,,,,,,,,,,
Butler,Kentucky,1948,117415,4.19,99,192,18999,6.18,3,29000,17,139,2370,12.24,,,,,,
Carter,Kentucky,1948,437098,5.41,321,214,68544,6.38,,,,,,,,,,,,
Christian,Kentucky,1948,11430,4.44,13,173,2249,5.08,,,,,,,,,,,,
Clay,Kentucky,1948,813375,5.76,1254,200,250588,3.25,10,103046,82,102,8334,12.36,,,,,,
Clinton,Kentucky,1948,4096,4.48,9,120,1080,3.79,,,,,,,,,,,,
Crittenden,Kentucky,1948,3973,3.89,9,50,450,8.83,1,3973,9,50,450,8.83,,,,,,
Daviess,Kentucky,1948,634312,3.58,291,185,53841,11.78,2,337000,66,262,17300,19.48,,,,,,
Edmonson,Kentucky,1948,11120,4.16,12,137,1639,6.78,,,,,,,,,,,,
Elliott,Kentucky,1948,61144,4.49,77,176,13571,4.51,1,1600,5,180,900,1.78,,,,,,
Floyd,Kentucky,1948,6698365,6.48,6747,192,1292753,5.18,,,,,,,,,,,,
Grayson,Kentucky,1948,9211,4.43,29,60,1740,5.29,2,9211,29,60,1740,5.29,,,,,,
Greenup,Kentucky,1948,87812,4.80,99,176,17387,5.05,,,,,,,,,,,,
